listing_id,locality_name,bhk,sqft,floor,total_floors,furnishing,rent
L00055,Yelahanka,2,,0,15,Semi-Furnished,19780
L00410,Electronic City,1,591,1,16,Semi-Furnished,13382
L00665,Bannerghatta Road,3,1562,9,12,Fully-Furnished,37140
L00374,Jayanagar,2,852,2,12,Fully-Furnished,27354
L00367,Bannerghatta Road,2,899,0,6,Fully-Furnished,25302
L00330,BTM Layout,2,1219,6,7,Fully-Furnished,33690
L00085,Sarjapur Road,3,1372,13,15,Fully-Furnished,38643
L00576,HSR Layout,1,555,18,18,Fully-Furnished,22201
L00301,Rajajinagar,2,935,1,8,Unfurnished,21047
L00411,Yelahanka,1,529,13,14,Unfurnished,8784
L00276,Rajajinagar,3,1387,0,6,Semi-Furnished,38244
L00270,Hebbal,2,1186,14,18,Unfurnished,28090
L00448,Rajajinagar,2,1175,2,9,Unfurnished,28k
L00512,Koramangala,3,1724,7,16,Unfurnished,57150
L00358,Yelahanka,1,653,10,16,Fully-Furnished,15799
L00532,Koramangala,3,1499,1,4,Fully-Furnished,62k
L00502,Whitefield,2,1037,2,15,Unfurnished,26671
L00212,Yelahanka,1,720,2,3,Unfurnished,12479
L00347,Electronic City,2,953,5,5,Fully-Furnished,22561
L00304,Koramangala,3,1674,18,18,Fully-Furnished,"₹64,841"
L00774,JP Nagar,2,1046,4,4,Semi-Furnished,27468
L00507,Whitefield,2,1158,16,16,Fully-Furnished,38077
L00469,Malleshwaram,1,571,2,18,Fully-Furnished,22068
L00556,Marathahalli,2,1058,4,4,Fully-Furnished,31174
L00019,Jayanagar,4,2073,9,13,Semi-Furnished,63811
L00729,Malleshwaram,1,680,8,8,Fully-Furnished,25698
L00389,Koramangala,2,864,8,8,Fully-Furnished,36328
L00744,Sarjapur Road,2,907,2,8,Unfurnished,21080
L00599,Sarjapur Road,2,,11,11,Unfurnished,26073
L00164,Sarjapur Road,1,502,4,5,Semi-Furnished,12354
L00605,Electronic City,1,676,10,16,Fully-Furnished,15834
L00773,HSR Layout,1,661,5,5,Unfurnished,17242
L00587,Marathahalli,4,2164,6,7,Semi-Furnished,58805
L00173,Sarjapur Road,3,1742,5,8,Unfurnished,41815
L00369,JP Nagar,2,934,1,5,Semi-Furnished,26468
L00179,Bannerghatta Road,1,538,4,7,Semi-Furnished,11k
L00333,Marathahalli,2,866,13,17,Fully-Furnished,27749/-
L00549,Malleshwaram,2,887,10,16,Semi-Furnished,28269/-
L00184,Whitefield,1,700,3,16,Fully-Furnished,23243
L00178,Koramangala,2,1032,8,13,Semi-Furnished,34215
L00579,JP Nagar,3,1513,4,9,Fully-Furnished,46493
L00352,Indiranagar,2,996,2,4,Unfurnished,32020
L00029,Electronic City,1,584,6,6,Fully-Furnished,14753
L00096,Indiranagar,2,1184,2,18,Fully-Furnished,50604
L00710,Malleshwaram,3,1726,9,12,Semi-Furnished,51692
L00337,Sarjapur Road,1,573,7,13,Fully-Furnished,17673
L00632,Bannerghatta Road,2,865,1,13,Unfurnished,18492
L00759,Whitefield,2,1107,0,5,Fully-Furnished,36158
L00101,JP Nagar,3,1358,1,17,Unfurnished,32851
L00182,Marathahalli,4,1870,3,18,Semi-Furnished,54371
L00394,BTM Layout,2,1000,7,7,Fully-Furnished,30471
L00668,JP Nagar,2,889,4,4,Fully-Furnished,25204/-
L00326,Indiranagar,2,,6,12,Fully-Furnished,45210
L00494,Jayanagar,3,1719,0,11,Fully-Furnished,56737
L00240,Bannerghatta Road,3,1598,6,8,Fully-Furnished,40376
L00379,Bannerghatta Road,4,2225,2,3,Fully-Furnished,56570
L00680,Koramangala,1,606,2,4,Unfurnished,"₹18,183"
L00072,Whitefield,4,1927,11,14,Semi-Furnished,57469
L00005,Marathahalli,1,655,4,8,Unfurnished,15195
L00234,Indiranagar,4,2266,0,17,Unfurnished,76234
L00737,Yelahanka,2,925,7,8,Unfurnished,16581
L00216,HSR Layout,2,1128,6,15,Fully-Furnished,38182
L00578,Hebbal,3,1522,5,9,Semi-Furnished,38385
L00161,JP Nagar,2,928,1,4,Semi-Furnished,26076
L00265,Rajajinagar,1,579,3,10,Unfurnished,13k
L00541,Hebbal,2,,1,6,Semi-Furnished,29604
L00732,Hebbal,1,695,0,5,Fully-Furnished,19525
L00483,HSR Layout,2,1034,8,9,Unfurnished,31937
L00016,Sarjapur Road,2,924,1,3,Fully-Furnished,26971
L00750,BTM Layout,3,1518,1,6,Semi-Furnished,"₹42,881"
L00324,Yelahanka,2,1175,7,7,Fully-Furnished,27716
L00084,Indiranagar,2,1025,6,8,Unfurnished,37639
L00656,Hebbal,2,897,0,13,Unfurnished,19498
L00188,Rajajinagar,2,1231,0,4,Unfurnished,26987
L00242,BTM Layout,3,1379,8,11,Semi-Furnished,38278/-
L00196,JP Nagar,4,2422,6,9,Semi-Furnished,69472
L00697,Bannerghatta Road,2,988,3,4,Fully-Furnished,26532
L00286,Marathahalli,1,,3,15,Semi-Furnished,13804
L00371,HSR Layout,1,719,8,16,Unfurnished,20196
L00034,Sarjapur Road,3,1639,2,8,Fully-Furnished,54210
L00726,Bannerghatta Road,1,606,3,9,Unfurnished,11767
L00401,Rajajinagar,3,1311,11,12,Unfurnished,33k
L00694,Yelahanka,2,1148,3,3,Semi-Furnished,23696
L00355,HSR Layout,1,512,5,7,Fully-Furnished,18160
L00109,Yelahanka,2,1096,1,3,Semi-Furnished,22805
L00198,Koramangala,2,1031,1,16,Semi-Furnished,38796
L00340,HSR Layout,3,1438,13,18,Unfurnished,44546
L00648,Bannerghatta Road,3,1744,4,12,Fully-Furnished,415950
L00290,Bannerghatta Road,2,931,2,10,Unfurnished,19372
L00497,Whitefield,1,611,3,10,Semi-Furnished,16632
L00357,JP Nagar,4,2417,8,18,Fully-Furnished,73355
L00763,Yelahanka,4,2072,0,6,Fully-Furnished,42663
L00254,HSR Layout,3,1398,10,12,Semi-Furnished,48007
L00042,Sarjapur Road,2,1178,9,16,Unfurnished,28830
L00320,Hebbal,2,984,1,4,Unfurnished,24409
L00762,Sarjapur Road,2,852,5,13,Unfurnished,19988
L00511,Indiranagar,2,1072,1,15,Semi-Furnished,41707
L00751,Hebbal,2,957,3,14,Fully-Furnished,25169
L00117,Koramangala,2,1026,0,15,Semi-Furnished,39924/-
L00288,HSR Layout,2,1061,8,8,Unfurnished,312790
L00563,Jayanagar,1,750,3,15,Semi-Furnished,24207
L00562,Jayanagar,2,1049,4,5,Semi-Furnished,"₹28,961"
L00565,BTM Layout,1,684,13,15,Unfurnished,17253
L00523,Hebbal,3,1606,7,9,Unfurnished,39472
L00420,Electronic City,1,743,1,4,Fully-Furnished,17450
L00514,Hebbal,3,1423,9,17,Unfurnished,32743
L00350,Koramangala,2,893,8,11,Unfurnished,29k
L00327,JP Nagar,2,1024,0,13,Unfurnished,268170
L00660,JP Nagar,2,1017,8,10,Unfurnished,"₹23,737"
L00120,Hebbal,3,1377,6,8,Fully-Furnished,40517
L00619,JP Nagar,2,1166,6,6,Semi-Furnished,32107
L00282,Indiranagar,4,1937,3,7,Semi-Furnished,664570
L00040,Bannerghatta Road,2,1119,5,15,Semi-Furnished,24784
L00231,Yelahanka,2,1058,1,6,Semi-Furnished,19k
L00577,Indiranagar,3,1590,4,15,Semi-Furnished,56047
L00519,Rajajinagar,2,987,9,9,Unfurnished,23279
L00799,HSR Layout,3,1633,5,9,Unfurnished,455490
L00043,Bannerghatta Road,1,707,4,4,Unfurnished,13828
L00165,Hebbal,2,1227,7,11,Semi-Furnished,28840
L00468,Bannerghatta Road,3,1599,3,8,Semi-Furnished,37065
L00229,BTM Layout,1,542,14,16,Semi-Furnished,13k
L00646,Jayanagar,1,616,8,9,Fully-Furnished,21433
L00087,Koramangala,2,1178,5,7,Fully-Furnished,52912
L00550,Malleshwaram,2,1127,0,5,Fully-Furnished,41754
L00627,Yelahanka,1,685,10,11,Fully-Furnished,15515
L00634,Marathahalli,3,1703,13,15,Fully-Furnished,49762
L00586,Malleshwaram,2,,4,11,Unfurnished,22272
L00591,Malleshwaram,2,1061,5,5,Fully-Furnished,"₹37,757"
L00492,Hebbal,4,2031,1,4,Unfurnished,49243
L00664,Malleshwaram,2,1005,11,11,Fully-Furnished,"₹35,266"
L00700,Jayanagar,2,1137,0,3,Semi-Furnished,32340
L00642,Koramangala,4,2414,3,8,Fully-Furnished,"₹99,011"
L00795,Bannerghatta Road,3,1597,11,13,Unfurnished,30390
L00449,Jayanagar,2,1009,13,16,Semi-Furnished,29767
L00488,Bannerghatta Road,2,1075,5,16,Fully-Furnished,27k
L00592,Indiranagar,4,1933,2,6,Fully-Furnished,85553
L00503,Marathahalli,2,1075,4,6,Fully-Furnished,36698
L00465,Bannerghatta Road,1,707,5,8,Semi-Furnished,15156
L00583,BTM Layout,3,1572,7,7,Semi-Furnished,40318
L00746,Jayanagar,2,1067,8,17,Fully-Furnished,36255
L00568,Whitefield,1,740,5,7,Unfurnished,18693
L00573,Indiranagar,2,925,4,11,Fully-Furnished,"₹38,008"
L00536,JP Nagar,2,1059,5,5,Fully-Furnished,35k
L00079,Electronic City,2,988,1,5,Unfurnished,19797
L00387,Malleshwaram,1,731,17,18,Unfurnished,21909
L00501,Jayanagar,1,550,3,9,Unfurnished,15085
L00088,Marathahalli,2,989,11,15,Fully-Furnished,30029
L00134,BTM Layout,2,1176,17,17,Semi-Furnished,28325
L00476,Malleshwaram,4,2279,4,4,Fully-Furnished,77132
L00703,HSR Layout,1,574,1,7,Fully-Furnished,21298
L00366,Hebbal,2,1135,6,16,Unfurnished,24498
L00238,Electronic City,2,1139,10,16,Semi-Furnished,26024
L00131,Marathahalli,2,1134,4,13,Fully-Furnished,36361
L00151,Yelahanka,4,2130,0,6,Semi-Furnished,44606
L00484,Marathahalli,2,1192,1,7,Fully-Furnished,34k
L00049,Rajajinagar,1,562,6,7,Unfurnished,13764
L00137,Jayanagar,1,726,6,18,Fully-Furnished,22466
L00311,Bannerghatta Road,2,1225,3,11,Semi-Furnished,27878
L00585,Electronic City,2,947,2,6,Fully-Furnished,"₹21,206"
L00467,Koramangala,2,1230,5,5,Semi-Furnished,42128
L00342,Jayanagar,1,640,8,17,Semi-Furnished,18796
L00376,Sarjapur Road,2,923,6,8,Semi-Furnished,26341
L00792,Bannerghatta Road,1,561,0,9,Semi-Furnished,13k
L00679,Malleshwaram,3,1512,4,4,Fully-Furnished,52k
L00125,Rajajinagar,2,1193,0,5,Semi-Furnished,33379
L00205,Yelahanka,2,,4,18,Semi-Furnished,21338
L00114,Yelahanka,3,1600,7,17,Unfurnished,29009
L00300,Yelahanka,1,,2,3,Fully-Furnished,13692
L00013,Bannerghatta Road,2,1178,2,15,Unfurnished,21653
L00618,JP Nagar,2,,6,17,Unfurnished,30244
L00002,Rajajinagar,3,1338,8,8,Semi-Furnished,34383
L00405,Rajajinagar,2,1193,15,16,Fully-Furnished,34511
L00781,Koramangala,3,1720,0,3,Semi-Furnished,60k
L00633,Malleshwaram,2,1173,6,16,Unfurnished,35057
L00655,Sarjapur Road,2,880,7,8,Unfurnished,22k
L00068,Yelahanka,3,1702,7,14,Fully-Furnished,39113
L00370,Malleshwaram,3,1670,4,9,Fully-Furnished,64321
L00422,Marathahalli,2,861,1,11,Unfurnished,"₹22,987"
L00045,Marathahalli,1,634,8,11,Fully-Furnished,19251
L00107,Jayanagar,2,979,6,15,Fully-Furnished,"₹34,464"
L00666,Hebbal,1,565,6,12,Fully-Furnished,15688
L00313,JP Nagar,2,1237,10,10,Semi-Furnished,31785
L00715,HSR Layout,2,977,1,5,Semi-Furnished,30987
L00210,HSR Layout,1,533,4,10,Unfurnished,15052
L00219,Jayanagar,4,1894,6,6,Unfurnished,53268
L00262,Rajajinagar,2,1055,3,17,Unfurnished,24653
L00508,Electronic City,1,705,1,4,Fully-Furnished,16879
L00319,Sarjapur Road,2,950,7,8,Unfurnished,21895
L00193,Jayanagar,1,500,5,6,Fully-Furnished,18405
L00580,Jayanagar,3,1376,4,13,Semi-Furnished,"₹42,460"
L00022,Electronic City,1,702,4,8,Unfurnished,13052
L00132,Hebbal,2,1241,2,3,Unfurnished,27370
L00215,Sarjapur Road,3,1444,4,12,Unfurnished,31215/-
L00468,Bannerghatta Road,3,1599,3,8,Semi-Furnished,37065
L00490,Sarjapur Road,2,932,3,6,Fully-Furnished,27207
L00588,Koramangala,2,1163,3,18,Unfurnished,39498
L00622,Jayanagar,3,1718,3,12,Fully-Furnished,62916
L00582,Electronic City,3,1395,5,18,Unfurnished,28934
L00289,Malleshwaram,1,656,13,16,Unfurnished,19024
L00066,Marathahalli,2,1224,9,18,Unfurnished,30188
L00189,Malleshwaram,1,555,7,7,Fully-Furnished,19754
L00197,BTM Layout,2,1113,14,16,Semi-Furnished,27050
L00457,Sarjapur Road,3,1623,4,13,Semi-Furnished,46173
L00678,BTM Layout,3,1362,6,16,Unfurnished,31778
L00482,HSR Layout,3,1507,18,18,Fully-Furnished,50898
L00564,Hebbal,4,1937,4,15,Fully-Furnished,59577
L00435,Rajajinagar,4,2078,9,11,Semi-Furnished,54499
L00722,Malleshwaram,3,1469,1,18,Semi-Furnished,45984
L00433,Koramangala,4,1887,1,3,Fully-Furnished,79746
L00269,BTM Layout,2,861,2,9,Unfurnished,198870
L00531,Marathahalli,3,1418,4,14,Fully-Furnished,44798
L00741,Indiranagar,2,1192,14,17,Semi-Furnished,48222
L00047,Indiranagar,2,954,4,9,Fully-Furnished,37365
L00459,HSR Layout,4,2335,15,15,Semi-Furnished,77999
L00698,Bannerghatta Road,3,1566,7,13,Fully-Furnished,38280
L00558,Malleshwaram,2,1152,13,13,Fully-Furnished,37007
L00025,Malleshwaram,2,918,8,10,Fully-Furnished,32464
L00259,Whitefield,3,1379,6,9,Semi-Furnished,42688
L00078,Whitefield,2,1194,11,14,Fully-Furnished,41k
L00312,JP Nagar,4,2452,3,4,Fully-Furnished,78068
L00157,Jayanagar,1,731,9,15,Unfurnished,20868
L00513,Indiranagar,1,585,4,8,Unfurnished,21321
L00070,Bannerghatta Road,3,1702,7,12,Unfurnished,32944
L00133,Indiranagar,2,1077,9,16,Unfurnished,35651
L00046,BTM Layout,2,1140,6,11,Fully-Furnished,36227
L00039,HSR Layout,4,2437,8,18,Fully-Furnished,94006
L00095,BTM Layout,3,1547,3,16,Fully-Furnished,44836
L00382,Koramangala,4,2219,4,15,Fully-Furnished,86057
L00561,Jayanagar,4,2466,13,17,Unfurnished,62852
L00305,BTM Layout,4,2025,8,9,Fully-Furnished,61768
L00428,Sarjapur Road,1,522,8,9,Unfurnished,13k
L00250,Bannerghatta Road,2,927,5,14,Unfurnished,19078
L00020,Koramangala,1,,2,5,Semi-Furnished,20094
L00522,Yelahanka,2,1032,10,14,Semi-Furnished,18574
L00098,Whitefield,3,1643,6,8,Semi-Furnished,49795
L00546,Malleshwaram,4,2071,0,4,Unfurnished,57156
L00241,Bannerghatta Road,2,1181,7,17,Unfurnished,26163
L00028,Marathahalli,2,1151,10,11,Semi-Furnished,34k
L00769,HSR Layout,1,545,6,6,Unfurnished,15294
L00266,Electronic City,2,893,5,13,Fully-Furnished,20909
L00704,JP Nagar,1,563,1,13,Fully-Furnished,17479
L00343,Sarjapur Road,3,1610,6,11,Semi-Furnished,42642
L00443,Malleshwaram,1,692,10,15,Fully-Furnished,25875
L00056,JP Nagar,1,700,4,6,Fully-Furnished,19549
L00247,Indiranagar,2,1150,5,9,Semi-Furnished,42541
L00707,Rajajinagar,2,,2,9,Semi-Furnished,33373
L00413,JP Nagar,2,1187,7,14,Fully-Furnished,39335
L00516,JP Nagar,2,1189,3,14,Unfurnished,28293
L00548,Bannerghatta Road,4,1985,4,16,Fully-Furnished,46356
L00017,Indiranagar,1,645,2,10,Fully-Furnished,29718
L00108,Marathahalli,1,706,1,5,Fully-Furnished,"₹21,572"
L00245,Sarjapur Road,1,695,12,18,Semi-Furnished,20104
L00211,Koramangala,1,520,8,14,Fully-Furnished,22797
L00621,Electronic City,2,882,4,4,Semi-Furnished,19165
L00314,Jayanagar,2,961,10,12,Unfurnished,25371
L00090,Whitefield,2,1080,8,9,Unfurnished,29646/-
L00708,Whitefield,1,524,3,3,Unfurnished,15030
L00223,HSR Layout,2,909,0,17,Semi-Furnished,281680
L00772,Indiranagar,2,977,0,5,Semi-Furnished,37507
L00251,Rajajinagar,1,513,0,3,Fully-Furnished,14375
L00434,Sarjapur Road,3,1448,2,4,Unfurnished,31975
L00779,Marathahalli,2,998,2,6,Unfurnished,26413
L00325,Jayanagar,3,1352,2,7,Unfurnished,38681
L00723,Whitefield,1,569,6,8,Fully-Furnished,18334
L00166,Sarjapur Road,2,1015,13,16,Fully-Furnished,30933
L00427,BTM Layout,2,894,7,8,Unfurnished,"₹20,505"
L00123,Indiranagar,2,1076,14,17,Semi-Furnished,41455
L00143,Koramangala,2,1057,8,17,Semi-Furnished,35k
L00328,Jayanagar,2,1125,12,12,Unfurnished,"₹28,172"
L00699,BTM Layout,3,1466,12,17,Fully-Furnished,47710
L00454,Koramangala,1,655,6,8,Fully-Furnished,28780
L00691,Yelahanka,2,897,14,18,Semi-Furnished,16782
L00315,Yelahanka,3,1712,14,17,Semi-Furnished,30830
L00362,Sarjapur Road,3,1529,3,15,Fully-Furnished,48419
L00786,JP Nagar,2,1123,3,8,Semi-Furnished,27978
L00584,Yelahanka,1,660,10,18,Unfurnished,10646
L00670,Koramangala,1,631,4,17,Semi-Furnished,24056
L00638,Hebbal,2,953,3,9,Unfurnished,21299
L00539,Malleshwaram,2,1115,0,3,Unfurnished,28241
L00065,Electronic City,2,938,5,14,Semi-Furnished,21518
L00452,Sarjapur Road,2,890,7,14,Unfurnished,21494
L00083,Rajajinagar,2,1219,5,10,Fully-Furnished,36819
L00529,Electronic City,2,959,3,4,Unfurnished,19k
L00144,Jayanagar,2,1242,4,13,Fully-Furnished,42352
L00115,HSR Layout,2,1065,10,17,Semi-Furnished,37010
L00559,JP Nagar,2,1154,10,10,Fully-Furnished,36273
L00649,Koramangala,3,1583,10,10,Semi-Furnished,61120
L00222,Malleshwaram,4,2375,2,6,Unfurnished,71744
L00177,JP Nagar,4,2209,1,4,Unfurnished,56284
L00695,Sarjapur Road,2,912,2,8,Fully-Furnished,29469/-
L00204,Hebbal,4,2319,4,4,Fully-Furnished,72828
L00727,Jayanagar,3,1327,2,3,Unfurnished,34450
L00041,Sarjapur Road,2,1102,8,16,Semi-Furnished,27695
L00478,Koramangala,4,2316,0,10,Fully-Furnished,96123
L00515,Hebbal,2,1155,0,12,Unfurnished,26491
L00499,HSR Layout,1,692,1,9,Unfurnished,18984
L00719,Electronic City,2,1068,2,3,Semi-Furnished,24478
L00430,Marathahalli,3,1380,1,9,Fully-Furnished,40949
L00138,Sarjapur Road,2,1145,3,6,Fully-Furnished,355680
L00268,Bannerghatta Road,1,682,6,11,Unfurnished,"₹13,661"
L00243,Sarjapur Road,2,1028,10,15,Fully-Furnished,29834
L00145,JP Nagar,2,1102,3,7,Fully-Furnished,34084
L00146,Indiranagar,3,1742,5,11,Semi-Furnished,72140/-
L00509,Yelahanka,2,961,1,9,Fully-Furnished,21108
L00517,Bannerghatta Road,3,1308,7,7,Unfurnished,25737
L00504,Yelahanka,1,743,12,16,Fully-Furnished,15128
L00067,Hebbal,3,1377,2,10,Fully-Furnished,38842
L00258,BTM Layout,1,520,9,15,Unfurnished,12k
L00032,Bannerghatta Road,2,960,4,4,Semi-Furnished,"₹22,488"
L00756,Jayanagar,2,1021,1,3,Fully-Furnished,35563
L00344,Koramangala,1,657,4,17,Fully-Furnished,26437
L00011,Rajajinagar,2,1250,1,8,Unfurnished,29366
L00620,Malleshwaram,2,1150,16,16,Semi-Furnished,34756
L00752,Electronic City,1,582,4,15,Fully-Furnished,14893
L00365,Sarjapur Road,2,1055,4,8,Fully-Furnished,29337
L00412,Jayanagar,1,662,15,17,Unfurnished,17557
L00235,Jayanagar,2,1008,3,9,Unfurnished,"₹26,374"
L00440,Hebbal,2,1155,12,15,Fully-Furnished,34172
L00236,Koramangala,2,1238,1,16,Unfurnished,38k
L00689,Bannerghatta Road,3,1522,7,12,Semi-Furnished,31699
L00110,Jayanagar,1,624,1,3,Unfurnished,16001
L00351,Bannerghatta Road,2,1220,15,15,Unfurnished,23k
L00317,Bannerghatta Road,3,1464,0,12,Unfurnished,31900
L00510,Sarjapur Road,2,1195,11,16,Semi-Furnished,33563
L00421,Sarjapur Road,1,572,0,12,Fully-Furnished,18205
L00611,Koramangala,2,864,0,4,Unfurnished,25938
L00027,Rajajinagar,1,651,0,3,Unfurnished,165180
L00102,Whitefield,2,1128,6,7,Semi-Furnished,36178
L00721,Whitefield,3,1418,2,3,Semi-Furnished,41937
L00766,JP Nagar,2,1014,8,9,Semi-Furnished,28572
L00113,Sarjapur Road,3,1534,13,17,Unfurnished,33121
L00363,JP Nagar,2,1242,3,5,Semi-Furnished,33k
L00706,Indiranagar,2,1170,3,11,Unfurnished,42454
L00676,Malleshwaram,2,907,4,9,Unfurnished,25124
L00214,Hebbal,2,949,2,16,Semi-Furnished,22195
L00424,Malleshwaram,2,979,1,5,Fully-Furnished,328500
L00596,Indiranagar,2,963,12,15,Semi-Furnished,39020
L00099,Marathahalli,1,656,3,5,Unfurnished,15946
L00302,Indiranagar,4,2000,7,11,Semi-Furnished,78k
L00360,JP Nagar,3,1408,9,17,Unfurnished,36682
L00069,Yelahanka,2,872,4,7,Fully-Furnished,20206
L00628,Marathahalli,2,,7,10,Semi-Furnished,23099
L00336,Rajajinagar,2,878,2,7,Fully-Furnished,25425
L00761,Jayanagar,2,1063,4,8,Unfurnished,"₹26,436"
L00036,Bannerghatta Road,2,1066,13,18,Fully-Furnished,27k
L00725,JP Nagar,3,1578,2,4,Unfurnished,34377
L00194,Whitefield,2,994,3,3,Fully-Furnished,31747
L00201,Bannerghatta Road,2,973,1,3,Unfurnished,19139
L00104,Sarjapur Road,1,544,3,6,Fully-Furnished,17423
L00345,Electronic City,3,1375,2,15,Fully-Furnished,34162
L00341,BTM Layout,3,1435,4,17,Fully-Furnished,45017
L00597,Yelahanka,4,2186,2,7,Fully-Furnished,"₹52,746"
L00380,Bannerghatta Road,2,978,7,15,Fully-Furnished,"₹25,711"
L00167,Whitefield,3,1310,2,8,Semi-Furnished,40587/-
L00176,Jayanagar,4,1822,3,14,Fully-Furnished,65531/-
L00767,Bannerghatta Road,2,946,7,12,Semi-Furnished,20748
L00285,BTM Layout,2,1135,9,18,Unfurnished,25806
L00410,Electronic City,1,591,1,16,Semi-Furnished,13382
L00758,Malleshwaram,2,1084,3,12,Unfurnished,32540
L00287,Marathahalli,2,1226,8,13,Unfurnished,28423
L00566,BTM Layout,3,1604,15,16,Fully-Furnished,44611
L00264,Yelahanka,2,1239,10,10,Semi-Furnished,25580
L00800,Jayanagar,4,2471,3,3,Semi-Furnished,70831
L00626,Jayanagar,4,2127,1,4,Semi-Furnished,56575
L00075,Yelahanka,2,867,17,18,Semi-Furnished,17675
L00368,Malleshwaram,1,636,6,11,Fully-Furnished,22186
L00593,Rajajinagar,1,532,9,18,Fully-Furnished,17470
L00334,Koramangala,2,949,10,10,Unfurnished,31637
L00012,HSR Layout,1,578,4,5,Fully-Furnished,22k
L00560,Jayanagar,2,,1,11,Semi-Furnished,31697
L00244,BTM Layout,2,1189,2,5,Fully-Furnished,33304
L00073,Marathahalli,2,1242,1,15,Unfurnished,31057
L00788,Sarjapur Road,1,535,3,13,Semi-Furnished,13260
L00129,BTM Layout,2,1185,3,7,Semi-Furnished,31128
